id,model,forecast_id,sequence,value
str,str,ref,int,float
fsd_demo_01_01,forecasting.smoothing.data,fst_demo_01,1,1
fsd_demo_01_02,forecasting.smoothing.data,fst_demo_01,2,2
fsd_demo_01_03,forecasting.smoothing.data,fst_demo_01,3,3
fsd_demo_01_04,forecasting.smoothing.data,fst_demo_01,4,4
fsd_demo_01_05,forecasting.smoothing.data,fst_demo_01,5,5
fsd_demo_01_06,forecasting.smoothing.data,fst_demo_01,6,6
fsd_demo_01_07,forecasting.smoothing.data,fst_demo_01,7,7
fsd_demo_01_08,forecasting.smoothing.data,fst_demo_01,8,8
fsd_demo_01_09,forecasting.smoothing.data,fst_demo_01,9,9
fsd_demo_01_10,forecasting.smoothing.data,fst_demo_01,10,10
fsd_demo_01_11,forecasting.smoothing.data,fst_demo_01,11,11
fsd_demo_01_12,forecasting.smoothing.data,fst_demo_01,12,12
fsd_demo_01_13,forecasting.smoothing.data,fst_demo_01,13,13
fsd_demo_01_14,forecasting.smoothing.data,fst_demo_01,14,14
fsd_demo_01_15,forecasting.smoothing.data,fst_demo_01,15,15
fsd_demo_01_16,forecasting.smoothing.data,fst_demo_01,16,16
fsd_demo_01_17,forecasting.smoothing.data,fst_demo_01,17,17
fsd_demo_01_18,forecasting.smoothing.data,fst_demo_01,18,18
fsd_demo_01_19,forecasting.smoothing.data,fst_demo_01,19,19
fsd_demo_01_20,forecasting.smoothing.data,fst_demo_01,20,20
fsd_demo_01_21,forecasting.smoothing.data,fst_demo_01,21,21
fsd_demo_01_22,forecasting.smoothing.data,fst_demo_01,22,22
fsd_demo_01_23,forecasting.smoothing.data,fst_demo_01,23,23
fsd_demo_01_24,forecasting.smoothing.data,fst_demo_01,24,24
fsd_demo_01_25,forecasting.smoothing.data,fst_demo_01,25,25
fsd_demo_01_26,forecasting.smoothing.data,fst_demo_01,26,26
fsd_demo_01_27,forecasting.smoothing.data,fst_demo_01,27,27
fsd_demo_01_28,forecasting.smoothing.data,fst_demo_01,28,28
fsd_demo_01_29,forecasting.smoothing.data,fst_demo_01,29,29
fsd_demo_01_30,forecasting.smoothing.data,fst_demo_01,30,30
fsd_demo_01_31,forecasting.smoothing.data,fst_demo_01,31,1
fsd_demo_01_32,forecasting.smoothing.data,fst_demo_01,32,2
fsd_demo_01_33,forecasting.smoothing.data,fst_demo_01,33,3
fsd_demo_01_34,forecasting.smoothing.data,fst_demo_01,34,4
fsd_demo_01_35,forecasting.smoothing.data,fst_demo_01,35,5
fsd_demo_01_36,forecasting.smoothing.data,fst_demo_01,36,6
fsd_demo_01_37,forecasting.smoothing.data,fst_demo_01,37,7
fsd_demo_01_38,forecasting.smoothing.data,fst_demo_01,38,8
fsd_demo_01_39,forecasting.smoothing.data,fst_demo_01,39,9
fsd_demo_01_40,forecasting.smoothing.data,fst_demo_01,40,10
fsd_demo_01_41,forecasting.smoothing.data,fst_demo_01,41,11
fsd_demo_01_42,forecasting.smoothing.data,fst_demo_01,42,12
fsd_demo_01_43,forecasting.smoothing.data,fst_demo_01,43,13
fsd_demo_01_44,forecasting.smoothing.data,fst_demo_01,44,14
fsd_demo_01_45,forecasting.smoothing.data,fst_demo_01,45,15
fsd_demo_01_46,forecasting.smoothing.data,fst_demo_01,46,16
fsd_demo_01_47,forecasting.smoothing.data,fst_demo_01,47,17
fsd_demo_01_48,forecasting.smoothing.data,fst_demo_01,48,18
fsd_demo_01_49,forecasting.smoothing.data,fst_demo_01,49,19
fsd_demo_01_50,forecasting.smoothing.data,fst_demo_01,50,20
fsd_demo_01_51,forecasting.smoothing.data,fst_demo_01,51,21
fsd_demo_01_52,forecasting.smoothing.data,fst_demo_01,52,22
fsd_demo_01_53,forecasting.smoothing.data,fst_demo_01,53,23
